project.number,status,project.type,approval.date,implementation.start.date,original.completion.date,revised.completion.date, project.budget , cumulative.disbursements , undisbursed.amount ,success.rating
7008,FINANCIALLY COMPLETED,AD,39426.00,39479.00,39844.00,40209.00,  0.500 ,  0.441 ,  0.059 ,1
7009,FINANCIALLY COMPLETED,PP,39427.00,39651.00,39903.00,40268.00,  1.000 ,  0.567 ,  0.433 ,0
7010,FINANCIALLY COMPLETED,PP,39419.00,39497.00,39844.00,40359.00,  0.700 ,  0.647 ,  0.053 ,
7011,FINANCIALLY COMPLETED,AD,39428.00,39463.00,40237.00,40602.00,  0.600 ,  0.535 ,  0.065 ,1
7012,FINANCIALLY COMPLETED,PP,39427.00,39469.00,39691.00,40178.00,  0.550 ,  0.503 ,  0.047 ,
7013,FINANCIALLY COMPLETED,AD,39428.00,39457.00,40209.00,40543.00,  1.300 ,  1.207 ,  0.093 ,1
7014,FINANCIALLY COMPLETED,PP,39428.00,39510.00,39813.00,40968.00,  1.000 ,  0.850 ,  0.150 ,
7015,FINANCIALLY COMPLETED,PP,39428.00,39518.00,39660.00,41333.00,  0.730 ,  0.694 ,  0.036 ,
7016,FINANCIALLY COMPLETED,AD,39428.00,39520.00,39994.00,40482.00,  0.850 ,  0.733 ,  0.117 ,1
7017,FINANCIALLY COMPLETED,AD,39428.00,39496.00,39933.00,40359.00,  0.400 ,  0.342 ,  0.058 ,1
7018,FINANCIALLY COMPLETED,AD,39428.00,39660.00,40298.00,40663.00,  0.980 ,  0.916 ,  0.064 ,1
7019,FINANCIALLY COMPLETED,AD,39429.00,39521.00,39994.00,40313.00,  0.800 ,  0.742 ,  0.058 ,1
7020,FINANCIALLY COMPLETED,PP,39428.00,39549.00,39751.00,39903.00,  0.400 ,  0.305 ,  0.095 ,
7021,FINANCIALLY COMPLETED,AD,39428.00,39478.00,40694.00,41059.00,  0.600 ,  0.516 ,  0.084 ,1
7022,FINANCIALLY COMPLETED,PP,39428.00,39472.00,39782.00,39964.00,  0.825 ,  0.681 ,  0.144 ,
7023,FINANCIALLY COMPLETED,AD,39428.00,39476.00,40451.00,40908.00,  0.600 ,  0.540 ,  0.060 ,1
7024,FINANCIALLY COMPLETED,AD,39428.00,39686.00,39903.00,40543.00,  0.925 ,  0.695 ,  0.230 ,1
7025,FINANCIALLY COMPLETED,PP,39428.00,39467.00,40025.00,40908.00,  0.600 ,  0.454 ,  0.146 ,
7026,FINANCIALLY COMPLETED,PP,39428.00,39477.00,39691.00,40724.00,  0.760 ,  0.755 ,  0.005 ,0
7027,FINANCIALLY COMPLETED,AD,39429.00,39587.00,41455.00,41455.00,  0.400 ,  0.396 ,  0.004 ,1
7028,CANCELLED,PP,39433.00,,39660.00,39660.00,  0.600 ,  -   ,  0.600 ,
7029,FINANCIALLY COMPLETED,PP,39427.00,39538.00,39813.00,40724.00,  0.680 ,  0.656 ,  0.024 ,
7030,FINANCIALLY COMPLETED,AD,39430.00,39533.00,39994.00,40816.00,  0.500 ,  0.369 ,  0.131 ,1
7031,FINANCIALLY COMPLETED,PP,39430.00,39458.00,39872.00,40543.00,  0.750 ,  0.698 ,  0.052 ,
7032,FINANCIALLY COMPLETED,AD,39430.00,39455.00,40209.00,40543.00,  0.750 ,  0.708 ,  0.042 ,1
7033,FINANCIALLY COMPLETED,AD,39433.00,39451.00,39933.00,40178.00,  0.500 ,  0.325 ,  0.175 ,1
7034,FINANCIALLY COMPLETED,PP,39433.00,39587.00,39872.00,40329.00,  0.600 ,  0.594 ,  0.006 ,
7035,FINANCIALLY COMPLETED,AD,39428.00,39463.00,39813.00,40542.00,  0.500 ,  0.271 ,  0.229 ,1
7036,FINANCIALLY COMPLETED,AD,39428.00,39498.00,40025.00,40543.00,  1.000 ,  0.911 ,  0.089 ,1
7037,FINANCIALLY COMPLETED,PP,39430.00,39476.00,39721.00,40359.00,  0.500 ,  0.418 ,  0.082 ,
7038,FINANCIALLY COMPLETED,AD,39436.00,39518.00,40209.00,42035.00,  0.800 ,  0.392 ,  0.408 ,
7039,CANCELLED,PP,39433.00,,39752.00,39752.00,  0.800 ,  -   ,  0.800 ,
7040,FINANCIALLY COMPLETED,PP,39430.00,39506.00,39752.00,40663.00,  1.135 ,  1.045 ,  0.090 ,
7041,FINANCIALLY COMPLETED,PP,39434.00,39475.00,39660.00,40025.00,  0.600 ,  0.598 ,  0.002 ,
7042,FINANCIALLY COMPLETED,AD,39430.00,39502.00,40237.00,40724.00,  0.500 ,  0.419 ,  0.081 ,1
7043,FINANCIALLY COMPLETED,AD,39433.00,39591.00,40025.00,40633.00,  0.300 ,  0.147 ,  0.153 ,1
7044,FINANCIALLY COMPLETED,PP,39433.00,39476.00,39813.00,39903.00,  0.700 ,  0.686 ,  0.014 ,1
7045,FINANCIALLY COMPLETED,PP,39433.00,39651.00,39844.00,40633.00,  2.490 ,  2.428 ,  0.062 ,
7046,FINANCIALLY COMPLETED,AD,39433.00,39532.00,40543.00,41274.00,  0.800 ,  0.582 ,  0.218 ,1
7047,FINANCIALLY COMPLETED,AD,39436.00,39518.00,39994.00,40298.00,  0.200 ,  0.197 ,  0.003 ,1
7048,CANCELLED,PP,39433.00,,39752.00,39752.00,  1.000 ,  -   ,  1.000 ,
7049,FINANCIALLY COMPLETED,AD,39436.00,39517.00,39872.00,40816.00,  0.500 ,  0.499 ,  0.001 ,1
7050,FINANCIALLY COMPLETED,AD,39436.00,39490.00,39691.00,39782.00,  0.300 ,  0.277 ,  0.023 ,1
7051,FINANCIALLY COMPLETED,AD,39440.00,39560.00,40268.00,40359.00,  0.400 ,  0.362 ,  0.038 ,1
7052,FINANCIALLY COMPLETED,AD,39458.00,39458.00,39629.00,40543.00,  0.150 ,  0.106 ,  0.044 ,1
7053,FINANCIALLY COMPLETED,AD,39471.00,39471.00,39568.00,39629.00,  0.150 ,  0.102 ,  0.048 ,
7054,FINANCIALLY COMPLETED,AD,39471.00,39534.00,40086.00,40451.00,  0.350 ,  0.177 ,  0.173 ,1
7055,FINANCIALLY COMPLETED,AD,39470.00,39504.00,40117.00,40967.00,  2.000 ,  1.875 ,  0.125 ,1
